Com,HetAdv,HomAdv,Count,1,200
1.142,8E-5,-100,10987,6045,0
1.142,0.0001,-100,10987,5973,0
1.142,0.00013,-100,10992,6052,0
1.142,0.00016,-100,11037,5988,0
1.142,0.0002,-100,11037,5929,0
1.142,0.00025,-100,11037,6114,0
1.142,0.00031,-100,11037,5931,0
1.142,0.00038,-100,11037,5981,0
1.142,0.00048,-100,11037,5986,0
1.142,0.0006,-100,11037,5961,0
1.142,0.00075,-100,11037,6026,0
1.142,0.00094,-100,11037,5959,0
1.142,0.00117,-100,11037,5939,0
1.142,0.00146,-100,11037,6013,0
1.142,0.00183,-100,11037,5973,0
1.142,0.00228,-100,11037,6006,0
1.142,0.00285,-100,11037,5910,0
1.142,0.00357,-100,11037,6039,0
1.142,0.00446,-100,11037,6017,0
1.142,0.00558,-100,11037,5996,0
1.142,0.00697,-100,11037,5948,0
1.142,0.00871,-100,11037,5923,0
1.142,0.01089,-100,11037,5905,0
1.142,0.01361,-100,11037,5990,0
1.142,0.01701,-100,11037,6010,0
1.142,0.02127,-100,11037,6055,0
1.142,0.02658,-100,11037,6116,0
1.142,0.03323,-100,11037,6000,0
1.142,0.04154,-100,11037,5985,0
1.142,0.05192,-100,11037,5941,0
1.142,0.0649,-100,11037,6058,0
1.142,0.08113,-100,11037,5972,0
1.142,0.10141,-100,11037,5980,0
1.142,0.12677,-100,11037,6006,0
1.142,0.15846,-100,11037,5966,0
1.142,0.19807,-100,11037,6039,0
1.142,0.24759,-100,11037,5959,0
1.142,0.30949,-100,11037,5952,0
1.142,0.38686,-100,11037,6049,0
1.142,0.48357,-100,11037,6058,0
1.142,0.60446,-100,11037,6072,0
1.142,0.75558,-100,11037,5944,0
1.142,0.94447,-100,11037,6014,0
1.142,1.1806,-100,11037,5966,0
1.142,1.4757,-100,11037,5973,0
1.142,1.8447,-100,11037,5904,0
1.142,2.3058,-100,11037,6053,0
1.142,2.8823,-100,11037,5915,0
1.142,3.6029,-100,11037,5912,0
1.142,4.5036,-100,11037,5975,0
1.142,5.6295,-100,11037,5893,0
1.142,7.0369,-100,11037,6002,0
1.142,8.7961,-100,11037,5924,0
1.142,10.995,-100,11037,5880,0
1.142,13.744,-100,11037,5904,0
1.142,17.18,-100,11037,5734,0
1.142,21.475,-100,11037,5821,0
1.142,26.843,-100,11037,5695,0
1.142,33.554,-100,11037,5839,0
1.142,41.943,-100,11037,5659,0
1.142,52.429,-100,11037,5789,0
1.142,65.536,-100,11037,5983,0
1.142,81.92,-100,11037,6025,0
1.142,102.4,-100,11037,6283,0
1.142,128,-100,11037,6458,0
1.142,160,-100,11037,6829,0
1.142,200,-100,11037,7178,0
1.427,8E-5,-100,11037,5959,0
1.427,0.0001,-100,11037,6069,0
1.427,0.00013,-100,11037,5959,0
1.427,0.00016,-100,11037,6014,0
1.427,0.0002,-100,11037,5877,0
1.427,0.00025,-100,11037,6009,0
1.427,0.00031,-100,11037,5987,0
